area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count
2500.0,Apartment,Residential,4.0,5.0,21500000.0,Sale,Dhaka,Keraniganj,0,1,1,1,4,0,3
1620.0,Apartment,Residential,4.0,4.0,9500000.0,Sale,Dhaka,Bangshal,0,1,2,1,0,0,3
1840.0,Apartment,Residential,3.0,3.0,26500000.0,Sale,Dhaka,Dhanmondi,0,0,2,0,3,0,3
1365.0,Apartment,Residential,3.0,3.0,7500000.0,Sale,Dhaka,Turag,0,1,0,0,2,0,4
1450.0,Apartment,Residential,3.0,3.0,7000000.0,Sale,Dhaka,Shyampur,0,1,0,0,1,0,3
1140.0,Apartment,Residential,3.0,3.0,7500000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
2024.0,Apartment,Residential,3.0,3.0,19000000.0,Sale,Dhaka,Uttara,0,1,2,0,5,0,3
2750.0,Apartment,Residential,3.0,4.0,39000000.0,Sale,Dhaka,Baridhara,1,1,1,2,5,0,11
2004.0,Apartment,Residential,3.0,3.0,19000000.0,Sale,Dhaka,Uttara,0,1,2,0,5,0,3
2400.0,Apartment,Residential,3.0,3.0,16000000.0,Sale,Dhaka,Mirpur,2,2,2,3,3,0,5
2700.0,Apartment,Residential,3.0,3.0,35000000.0,Sale,Dhaka,Gulshan,0,2,2,0,5,0,4
1450.0,Apartment,Residential,3.0,3.0,9500000.0,Sale,Dhaka,Uttara,0,2,3,0,3,0,4
800.0,Apartment,Residential,2.0,2.0,4500000.0,Sale,Dhaka,Shyampur,0,1,0,0,1,0,3
1200.0,Apartment,Residential,3.0,3.0,7500000.0,Sale,Dhaka,Mirpur,0,0,0,0,2,0,3
1175.0,Apartment,Residential,3.0,3.0,7350000.0,Sale,Dhaka,Mirpur,0,0,0,0,2,0,3
1140.0,Apartment,Residential,3.0,3.0,7500000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1265.0,Apartment,Residential,3.0,3.0,7890000.000000001,Sale,Dhaka,Mirpur,0,0,0,0,2,0,3
1450.0,Apartment,Residential,3.0,3.0,11500000.0,Sale,Dhaka,Banasree,0,0,3,0,4,0,3
800.0,Apartment,Residential,2.0,2.0,4000000.0,Sale,Dhaka,Demra,0,1,2,0,2,0,3
1531.0,Apartment,Residential,3.0,3.0,18500000.0,Sale,Dhaka,Mohammadpur,0,1,2,0,5,0,3
2390.0,Apartment,Residential,4.0,4.0,33500000.0,Sale,Dhaka,Uttara,0,1,1,0,1,0,3
1489.0,Apartment,Residential,4.0,3.0,15000000.0,Sale,Dhaka,Uttara,0,0,2,0,3,0,4
1900.0,Apartment,Residential,3.0,4.0,16500000.0,Sale,Dhaka,Banasree,0,1,1,0,3,0,3
850.0,Apartment,Residential,3.0,2.0,3835000.0,Sale,Dhaka,Demra,0,0,2,0,1,0,3
700.0,Apartment,Residential,2.0,2.0,4500000.0,Sale,Dhaka,Demra,0,1,2,0,2,0,3
1700.0,Apartment,Residential,3.0,3.0,13500000.0,Sale,Dhaka,Uttara,0,0,1,0,3,0,4
1315.0,Apartment,Residential,3.0,3.0,10500000.0,Sale,Dhaka,Sutrapur,0,1,1,1,4,0,3
900.0,Apartment,Residential,3.0,2.0,6000000.0,Sale,Dhaka,Demra,0,1,2,0,2,0,3
1720.0,Apartment,Residential,4.0,3.0,14500000.0,Sale,Dhaka,Bashundhara R-A,0,2,2,0,2,0,4
1000.0,Apartment,Residential,3.0,3.0,6000000.0,Sale,Dhaka,Demra,0,1,2,0,2,0,3
1352.0,Apartment,Residential,3.0,3.0,10000000.0,Sale,Dhaka,Dhanmondi,0,2,1,0,4,0,4
2075.0,Apartment,Residential,3.0,3.0,25000000.0,Sale,Dhaka,Bashundhara R-A,0,2,3,0,4,0,5
1180.0,Apartment,Residential,3.0,3.0,7000000.0,Sale,Dhaka,Banasree,0,2,2,0,5,0,3
1830.0,Apartment,Residential,3.0,3.0,13500000.0,Sale,Dhaka,Aftab Nagar,0,0,3,0,4,0,3
1210.0,Apartment,Residential,3.0,3.0,8500000.0,Sale,Dhaka,Bashabo,0,1,0,0,4,0,4
1440.0,Apartment,Residential,3.0,3.0,6200000.0,Sale,Dhaka,Bashabo,0,1,0,0,4,0,4
2000.0,Apartment,Residential,5.0,3.0,16500000.0,Sale,Dhaka,Aftab Nagar,0,0,2,0,1,0,4
2300.0,Apartment,Residential,4.0,5.0,21000000.0,Sale,Dhaka,Banasree,0,2,2,0,4,0,3
1250.0,Apartment,Residential,3.0,3.0,7800000.0,Sale,Dhaka,Banasree,0,1,1,0,3,0,4
1200.0,Apartment,Residential,3.0,3.0,8500000.0,Sale,Dhaka,Aftab Nagar,0,1,2,0,2,0,3
1030.0,Apartment,Residential,3.0,3.0,7200000.0,Sale,Dhaka,Maghbazar,0,1,2,0,5,0,3
1538.0,Apartment,Residential,4.0,3.0,9900000.0,Sale,Dhaka,Badda,0,1,2,0,4,0,4
1184.0,Apartment,Residential,3.0,3.0,8700000.0,Sale,Dhaka,Badda,0,1,3,0,4,0,4
1420.0,Apartment,Residential,3.0,3.0,10600000.0,Sale,Dhaka,Badda,0,1,3,0,4,0,4
1710.0,Apartment,Residential,3.0,3.0,13799999.999999998,Sale,Dhaka,Malibagh,0,2,2,0,3,0,4
1184.0,Apartment,Residential,3.0,3.0,8700000.0,Sale,Dhaka,Badda,0,1,3,0,4,0,4
2015.0,Apartment,Residential,3.0,3.0,19500000.0,Sale,Dhaka,Dhanmondi,0,1,1,0,4,0,4
1475.0,Apartment,Residential,3.0,3.0,10800000.0,Sale,Dhaka,Adabor,0,1,1,0,4,0,4
1145.0,Apartment,Residential,2.0,3.0,6500000.0,Sale,Dhaka,Muradpur,0,1,2,0,4,0,4
1140.0,Apartment,Residential,3.0,3.0,7500000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1275.0,Apartment,Residential,3.0,3.0,10600000.0,Sale,Dhaka,Banasree,0,0,3,0,4,0,3
850.0,Apartment,Residential,2.0,3.0,5000000.0,Sale,Dhaka,Badda,0,0,2,0,1,0,3
1847.0,Apartment,Residential,4.0,3.0,15500000.0,Sale,Dhaka,Maghbazar,0,2,0,0,4,0,4
1100.0,Apartment,Residential,3.0,3.0,6200000.0,Sale,Dhaka,Mirpur,0,0,2,0,3,0,3
1266.0,Apartment,Residential,3.0,3.0,6695000.0,Sale,Chattogram,Double Mooring,0,1,1,0,1,0,4
1000.0,Apartment,Residential,3.0,2.0,6700000.0,Sale,Dhaka,Badda,0,0,1,0,2,0,3
850.0,Apartment,Residential,3.0,2.0,3835000.0,Sale,Dhaka,Demra,0,0,2,0,1,0,3
950.0,Apartment,Residential,2.0,2.0,5000000.0,Sale,Dhaka,Adabor,0,1,2,0,1,0,4
1450.0,Apartment,Residential,4.0,4.0,8200000.0,Sale,Dhaka,Bashabo,0,1,2,0,2,0,3
2000.0,Apartment,Residential,5.0,3.0,15000000.0,Sale,Dhaka,Aftab Nagar,0,0,2,0,1,0,4
1500.0,Apartment,Residential,3.0,2.0,12000000.0,Sale,Dhaka,Kuril,0,1,2,0,2,0,3
1750.0,Apartment,Residential,3.0,3.0,13000000.0,Sale,Dhaka,Malibagh,0,2,2,0,3,0,4
1988.0,Apartment,Residential,2.0,2.0,13000000.0,Sale,Dhaka,Mohammadpur,0,0,3,1,2,0,3
1200.0,Apartment,Residential,3.0,3.0,4500000.0,Sale,Chattogram,Halishahar,0,1,2,1,2,0,4
1600.0,Apartment,Residential,4.0,3.0,14500000.0,Sale,Dhaka,Bashundhara R-A,0,1,1,0,3,0,3
1100.0,Apartment,Residential,3.0,3.0,5300000.0,Sale,Dhaka,Badda,0,1,2,1,4,0,3
2000.0,Apartment,Residential,5.0,3.0,15000000.0,Sale,Dhaka,Aftab Nagar,0,0,2,0,1,0,4
1500.0,Apartment,Residential,3.0,3.0,5600000.0,Sale,Chattogram,Halishahar,0,1,2,1,2,0,4
1520.0,Apartment,Residential,3.0,3.0,16000000.0,Sale,Chattogram,15 No. Bagmoniram Ward,0,2,3,0,1,0,5
3322.0,Duplex,Residential,5.0,4.0,40000000.0,Sale,Dhaka,Banani,0,0,2,0,3,0,2
1228.0,Apartment,Residential,2.0,3.0,9800000.0,Sale,Dhaka,Malibagh,0,2,2,0,3,0,4
1600.0,Apartment,Residential,4.0,3.0,13500000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
